Position,Number,Color,Name,Drills,Hex
1,150,,Red - Bright,,#CF0053
2,151,,Pink,,#FFCBD7
3,152,,Tawny - Dark,,#E1A1A1
4,153,,Lilac,,#EAC5EB
5,154,,Red - Very Dark,,#4B233A
6,155,,Forget-me-not Blue,,#9774B6
7,156,,Blue - Medium,,#8577B4
8,157,,Blue - Light,,#B5B8EA
9,158,,Blue - Dark,,#393068
10,159,,Petrol Blue - Light,,#BCB5DE
11,160,,Petrol Blue - Medium,,#8178A9
12,161,,Petrol Blue - Dark,,#60568B
13,162,,Baby Blue - Light,,#CAE7F0
14,163,,Green,,#557A60
15,164,,Green - Light,,#BAE4B6
16,165,,Green - Bright,,#E1F477
17,166,,Lime Green,,#ADC238
18,167,,Khaki Brown,,#855D31
19,168,,Silver Gray,,#B1AEB7
20,169,,Light Pewter,,#827D7D
21,208,,Lavender - Very Dark,,#9442A7
22,209,,Lavender - Dark,,#BA72C6
23,210,,Lavender - Medium,,#D49FE1
24,211,,Lavender - Light,,#E5BDED
25,221,,Shell Pink - Very Dark,,#792631
26,223,,Shell Pink - Light,,#BB6864
27,224,,Shell Pink - Very Light,,#E2A598
28,225,,Shell Pink - Ultra Very Light,,#F8D9CD
29,300,,Mahogany - Very Dark,,#6C3116
30,301,,Mahogany - Medium,,#AA5237
31,304,,Red - Medium,,#A10C39
32,307,,Lemon,,#FDE949
33,309,,Rose - Dark,,#BA2044
34,310,,Black,,#000000
35,311,,Blue - Medium,,#002A64
36,312,,Baby Blue - Very Dark,,#1F3279
37,315,,Antique Mauve - Medium Dark,,#7D4246
38,316,,Antique Mauve - Medium,,#BC757F
39,317,,Pewter Gray,,#6D6469
40,318,,Steel Gray - Light,,#999B9D
41,319,,Pistachio Green - Very Dark,,#3A553B
42,320,,Pistachio Green - Medium,,#608C59
43,321,,Red,,#BD1136
44,322,,Baby Blue,,#3A609D
45,326,,Rose - Very Dark,,#AC1C37
46,327,,Violet,,#5E0F77
47,333,,Blue Violet - Very Dark,,#6E2E9B
48,334,,Baby Blue - Medium,,#6085B8
49,335,,Rose,,#D63D57
50,336,,Blue,,#0C275E
51,340,,Blue Violet - Medium,,#996DC3
52,341,,Blue Violet - Light,,#A39AD7
53,347,,Salmon - Very Dark,,#AB1B33
54,349,,Coral - Dark,,#C62C38
55,350,,Coral - Medium,,#DE3F40
